usuario,contiene,formato,idioma,largura_libro,clasificacion_edad,compone_saga,famoso,peso,tipo_narrador,libro,valoracion,timestep
4,ficcion_historica,papel,eng,normal,adulto,si,si,intermedio,tercera_persona,80.0,3,48
4,ficcion_historica,ebook,spa,normal,juvenil,no,no,pesado,tercera_persona,134.0,3,48
4,humor,audiolibro,spa,largo,adulto,no,si,ligero,tercera_persona,243.0,3,49
4,ficcion_historica,papel,cat,largo,adulto,si,no,pesado,tercera_persona,103.0,3,49
5,suspense,ebook,spa,normal,infantil,no,no,intermedio,primera_persona,332.0,4,0
5,suspense,ebook,eng,corto,juvenil,si,si,ligero,tercera_persona,319.0,4,1
5,fantasia,papel,eng,normal,juvenil,no,no,ligero,tercera_persona,58.0,4,3
5,terror,ebook,eng,largo,juvenil,no,si,ligero,primera_persona,193.0,4,3
5,magia,ebook,spa,normal,infantil,no,no,ligero,tercera_persona,282.0,3,8
5,humor,papel,eng,largo,juvenil,no,si,ligero,primera_persona,262.0,4,9
5,fantasia,ebook,eng,corto,juvenil,si,si,ligero,primera_persona,54.0,4,9
5,humor,ebook,spa,normal,juvenil,si,si,pesado,primera_persona,226.0,4,10
5,ficcion_historica,ebook,eng,normal,juvenil,si,no,ligero,tercera_persona,78.0,4,10
5,ciencia_ficcion,ebook,spa,normal,juvenil,no,no,pesado,primera_persona,27.0,4,11
5,misterio,ebook,spa,largo,juvenil,no,no,ligero,primera_persona,311.0,3,11
5,humor,papel,spa,normal,adulto,si,si,ligero,tercera_persona,246.0,3,13
5,humor,papel,cat,largo,juvenil,no,no,intermedio,tercera_persona,271.0,3,13
5,humor,ebook,eng,largo,juvenil,no,no,pesado,tercera_persona,134.0,2,14
5,romance,papel,spa,normal,juvenil,no,no,ligero,primera_persona,364.0,4,14
5,magia,ebook,eng,normal,juvenil,no,si,ligero,tercera_persona,297.0,3,14
5,misterio,ebook,spa,corto,juvenil,no,si,intermedio,tercera_persona,251.0,4,14
5,fantasia,ebook,eng,largo,adulto,no,no,ligero,primera_persona,2.0,4,14
5,suspense,papel,eng,normal,infantil,si,si,ligero,primera_persona,162.0,4,14
5,misterio,papel,cat,normal,juvenil,no,no,ligero,primera_persona,84.0,3,22
5,humor,ebook,eng,largo,infantil,si,si,intermedio,primera_persona,252.0,4,22
5,fantasia,papel,cat,normal,juvenil,no,si,ligero,primera_persona,35.0,3,25
5,ciencia_ficcion,papel,eng,largo,infantil,no,no,ligero,tercera_persona,397.0,5,25
6,ciencia_ficcion,papel,spa,corto,juvenil,no,si,pesado,tercera_persona,394.0,4,0
6,misterio,papel,eng,normal,juvenil,si,si,intermedio,tercera_persona,304.0,4,1
6,romance,papel,spa,normal,juvenil,si,si,ligero,primera_persona,357.0,3,5
6,ficcion_historica,papel,eng,normal,juvenil,si,si,ligero,primera_persona,82.0,3,5
6,magia,papel,spa,corto,infantil,si,si,ligero,tercera_persona,294.0,4,5
6,ciencia_ficcion,ebook,spa,normal,infantil,si,si,ligero,tercera_persona,386.0,4,9
6,ficcion_historica,papel,eng,corto,infantil,no,no,pesado,tercera_persona,89.0,4,18
6,magia,papel,spa,corto,juvenil,si,si,intermedio,primera_persona,287.0,3,20
6,ficcion_historica,ebook,cat,normal,juvenil,no,no,ligero,primera_persona,141.0,3,20
6,terror,papel,eng,corto,adulto,si,no,ligero,tercera_persona,217.0,4,20
6,suspense,papel,spa,normal,infantil,si,no,ligero,primera_persona,162.0,4,32
6,suspense,papel,eng,normal,infantil,no,no,intermedio,primera_persona,19.0,5,45
6,suspense,papel,eng,largo,infantil,si,si,intermedio,tercera_persona,411.0,3,45
7,ciencia_ficcion,papel,spa,normal,adulto,no,no,pesado,tercera_persona,389.0,3,2
7,magia,papel,spa,normal,adulto,si,no,ligero,tercera_persona,284.0,3,4
7,humor,papel,cat,corto,adulto,si,no,ligero,primera_persona,236.0,4,10
7,misterio,papel,spa,corto,adulto,si,si,ligero,primera_persona,315.0,3,10
7,magia,papel,spa,normal,adulto,si,no,ligero,primera_persona,283.0,3,10
7,suspense,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,57.0,3,12
7,misterio,papel,spa,normal,infantil,si,no,intermedio,primera_persona,306.0,3,12
7,terror,ebook,spa,largo,adulto,si,si,ligero,tercera_persona,209.0,4,12
7,terror,papel,spa,corto,adulto,si,no,intermedio,tercera_persona,217.0,3,14
7,fantasia,papel,spa,corto,infantil,no,no,ligero,primera_persona,37.0,3,14
7,misterio,papel,spa,corto,juvenil,si,no,ligero,primera_persona,336.0,3,16
7,magia,ebook,spa,normal,adulto,si,no,ligero,primera_persona,296.0,4,16
7,suspense,papel,spa,corto,adulto,si,si,ligero,primera_persona,408.0,3,20
7,romance,papel,spa,corto,infantil,si,si,ligero,primera_persona,363.0,3,35
7,suspense,papel,spa,corto,juvenil,si,si,ligero,tercera_persona,319.0,4,35
7,misterio,papel,spa,normal,adulto,no,no,ligero,tercera_persona,307.0,3,42
7,humor,papel,spa,largo,juvenil,no,no,ligero,tercera_persona,271.0,3,42
7,suspense,papel,spa,normal,adulto,si,no,pesado,tercera_persona,83.0,3,49
7,ficcion_historica,papel,spa,corto,juvenil,si,si,pesado,tercera_persona,150.0,4,49
7,magia,papel,spa,largo,juvenil,no,no,ligero,tercera_persona,291.0,5,49
7,magia,papel,spa,corto,juvenil,si,no,intermedio,tercera_persona,287.0,4,49
7,ficcion_historica,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,152.0,3,49
7,magia,papel,spa,corto,juvenil,si,si,ligero,primera_persona,60.0,4,49
7,humor,papel,spa,normal,adulto,si,si,intermedio,tercera_persona,246.0,3,50
7,ficcion_historica,papel,spa,normal,adulto,no,si,ligero,tercera_persona,81.0,4,51
7,humor,papel,spa,corto,juvenil,si,no,intermedio,tercera_persona,248.0,5,61
7,magia,papel,spa,corto,infantil,si,si,intermedio,tercera_persona,294.0,4,61
7,ficcion_historica,papel,spa,largo,infantil,si,no,pesado,tercera_persona,107.0,4,61
7,romance,papel,spa,corto,juvenil,si,no,ligero,primera_persona,70.0,4,65
7,humor,papel,cat,normal,adulto,no,si,pesado,primera_persona,224.0,4,66
7,suspense,papel,spa,corto,juvenil,si,si,intermedio,primera_persona,22.0,3,67
7,fantasia,papel,spa,normal,adulto,no,no,pesado,primera_persona,8.0,2,67
7,misterio,papel,spa,largo,adulto,no,si,ligero,primera_persona,322.0,5,67
7,ficcion_historica,papel,cat,normal,adulto,si,si,ligero,tercera_persona,102.0,4,68
7,suspense,papel,eng,normal,juvenil,si,si,ligero,tercera_persona,383.0,3,68
7,ciencia_ficcion,papel,spa,normal,infantil,si,si,ligero,primera_persona,386.0,3,68
8,ciencia_ficcion,papel,spa,corto,juvenil,si,si,ligero,tercera_persona,159.0,5,3
8,humor,papel,spa,normal,juvenil,si,no,ligero,primera_persona,226.0,4,4
8,suspense,papel,spa,normal,adulto,no,si,ligero,tercera_persona,339.0,3,4
8,terror,papel,spa,normal,adulto,no,si,ligero,tercera_persona,38.0,4,9
8,ficcion_historica,papel,spa,normal,adulto,no,no,intermedio,tercera_persona,143.0,4,10
8,suspense,ebook,spa,largo,adulto,no,si,ligero,primera_persona,402.0,2,11
8,romance,papel,eng,largo,juvenil,si,si,intermedio,primera_persona,372.0,3,11
8,ficcion_historica,papel,spa,largo,adulto,si,si,intermedio,tercera_persona,122.0,3,11
8,romance,papel,spa,corto,adulto,si,si,ligero,tercera_persona,363.0,3,14
8,humor,papel,spa,corto,juvenil,si,no,ligero,primera_persona,16.0,3,14
8,misterio,papel,spa,normal,adulto,si,si,intermedio,primera_persona,326.0,4,14
8,romance,audiolibro,spa,normal,adulto,no,no,pesado,tercera_persona,5.0,3,14
8,ficcion_historica,papel,spa,normal,adulto,no,no,intermedio,tercera_persona,156.0,3,14
8,romance,papel,spa,normal,adulto,si,no,intermedio,tercera_persona,374.0,4,14
8,suspense,papel,cat,normal,infantil,no,si,ligero,primera_persona,35.0,3,14
8,misterio,papel,spa,corto,adulto,no,si,ligero,primera_persona,322.0,3,15
8,suspense,papel,eng,normal,adulto,si,si,ligero,primera_persona,412.0,2,16
8,misterio,papel,spa,largo,adulto,no,si,ligero,primera_persona,307.0,4,16
8,misterio,papel,spa,normal,juvenil,no,no,intermedio,primera_persona,321.0,3,28
8,romance,papel,spa,normal,juvenil,si,no,ligero,tercera_persona,341.0,3,28
8,ficcion_historica,papel,spa,corto,adulto,no,no,ligero,tercera_persona,109.0,2,36
8,romance,papel,spa,normal,juvenil,si,si,intermedio,primera_persona,357.0,4,38
8,romance,papel,spa,normal,infantil,no,no,pesado,primera_persona,171.0,3,38
8,humor,papel,spa,corto,adulto,si,si,intermedio,tercera_persona,234.0,4,38
8,terror,papel,spa,normal,adulto,no,no,intermedio,primera_persona,202.0,4,38
8,romance,papel,spa,corto,juvenil,no,no,intermedio,primera_persona,366.0,3,40
8,suspense,papel,spa,corto,adulto,si,si,intermedio,tercera_persona,408.0,3,45
8,suspense,papel,spa,largo,adulto,si,si,intermedio,primera_persona,411.0,3,46
9,suspense,papel,spa,corto,adulto,si,no,ligero,tercera_persona,407.0,3,0
9,misterio,papel,spa,normal,infantil,no,no,ligero,primera_persona,332.0,4,1
9,misterio,papel,spa,corto,juvenil,no,no,ligero,tercera_persona,325.0,3,2
9,terror,papel,cat,corto,infantil,si,si,ligero,tercera_persona,159.0,4,3
9,fantasia,ebook,spa,normal,juvenil,no,si,ligero,primera_persona,34.0,5,3
9,magia,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,295.0,4,3
9,ciencia_ficcion,papel,spa,normal,infantil,si,si,ligero,primera_persona,386.0,3,3
9,magia,papel,spa,corto,juvenil,si,si,ligero,tercera_persona,287.0,4,4
9,fantasia,papel,spa,largo,infantil,no,no,ligero,primera_persona,3.0,5,4
9,terror,papel,spa,corto,adulto,no,si,ligero,tercera_persona,200.0,3,4
9,terror,papel,spa,corto,infantil,si,no,intermedio,tercera_persona,216.0,4,5
9,terror,papel,spa,corto,infantil,si,no,intermedio,primera_persona,220.0,1,5
9,magia,papel,spa,largo,juvenil,si,no,ligero,primera_persona,290.0,4,9
9,ciencia_ficcion,papel,spa,normal,adulto,si,si,intermedio,tercera_persona,389.0,3,9
9,fantasia,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,57.0,3,15
9,humor,papel,spa,normal,infantil,si,no,pesado,primera_persona,245.0,3,17
9,humor,papel,spa,corto,juvenil,no,si,ligero,tercera_persona,251.0,4,17
9,magia,papel,spa,largo,juvenil,no,si,ligero,primera_persona,291.0,4,17
9,fantasia,papel,cat,corto,infantil,no,no,ligero,tercera_persona,33.0,5,17
9,romance,papel,spa,corto,infantil,si,si,intermedio,tercera_persona,363.0,4,17
9,ciencia_ficcion,papel,spa,normal,juvenil,no,no,intermedio,tercera_persona,27.0,4,17
9,ficcion_historica,papel,eng,corto,infantil,si,no,ligero,tercera_persona,111.0,3,17
9,romance,papel,spa,normal,juvenil,no,no,intermedio,tercera_persona,373.0,5,17
9,fantasia,papel,spa,corto,juvenil,no,no,pesado,primera_persona,25.0,3,17
9,humor,papel,spa,normal,juvenil,si,si,ligero,primera_persona,226.0,3,17
10,ficcion_historica,papel,spa,corto,juvenil,no,si,intermedio,primera_persona,127.0,4,0
10,suspense,papel,spa,corto,adulto,no,no,intermedio,tercera_persona,381.0,4,0
10,humor,papel,spa,normal,adulto,si,no,pesado,primera_persona,246.0,3,0
10,suspense,papel,spa,largo,juvenil,si,no,ligero,primera_persona,402.0,4,21
10,romance,papel,spa,normal,adulto,si,si,ligero,tercera_persona,357.0,4,24
10,fantasia,papel,spa,corto,adulto,no,si,intermedio,tercera_persona,26.0,4,25
10,romance,papel,spa,normal,adulto,si,si,intermedio,tercera_persona,368.0,4,25
10,humor,papel,spa,normal,adulto,no,no,ligero,tercera_persona,134.0,2,25
10,misterio,papel,spa,normal,adulto,si,si,intermedio,tercera_persona,326.0,3,25
10,suspense,papel,spa,largo,adulto,no,si,ligero,primera_persona,411.0,3,25
10,suspense,papel,spa,corto,adulto,si,si,ligero,primera_persona,408.0,4,41
10,misterio,papel,spa,corto,juvenil,si,no,ligero,primera_persona,336.0,3,41
10,magia,papel,spa,normal,adulto,si,no,intermedio,primera_persona,283.0,4,46
10,ciencia_ficcion,papel,spa,corto,adulto,si,no,intermedio,primera_persona,390.0,3,51
10,suspense,papel,cat,largo,juvenil,no,no,intermedio,primera_persona,35.0,5,52
10,suspense,papel,spa,corto,adulto,no,si,pesado,primera_persona,400.0,4,52
10,romance,papel,spa,normal,adulto,no,no,ligero,primera_persona,364.0,4,52
10,magia,ebook,spa,largo,infantil,si,no,pesado,primera_persona,290.0,4,52
10,suspense,papel,spa,corto,adulto,si,no,pesado,primera_persona,407.0,4,52
10,suspense,papel,cat,normal,adulto,si,si,intermedio,tercera_persona,83.0,4,52
10,ficcion_historica,papel,spa,normal,juvenil,si,no,pesado,primera_persona,153.0,3,54
10,suspense,papel,spa,largo,infantil,no,si,ligero,tercera_persona,192.0,3,54
10,misterio,papel,spa,normal,infantil,no,si,intermedio,primera_persona,332.0,4,56
10,romance,ebook,spa,normal,juvenil,no,si,pesado,tercera_persona,344.0,3,56
10,romance,papel,spa,normal,adulto,si,no,intermedio,tercera_persona,374.0,3,62
10,fantasia,papel,spa,normal,infantil,si,no,intermedio,primera_persona,0.0,3,62
11,misterio,papel,spa,normal,infantil,no,no,ligero,tercera_persona,332.0,4,15
11,fantasia,papel,eng,largo,adulto,no,no,intermedio,primera_persona,2.0,3,18
11,ficcion_historica,papel,eng,largo,infantil,si,no,ligero,primera_persona,107.0,4,19
11,terror,papel,spa,normal,adulto,no,si,pesado,tercera_persona,160.0,3,24
11,romance,papel,eng,normal,juvenil,no,si,pesado,tercera_persona,350.0,5,24
11,misterio,papel,eng,normal,adulto,si,si,ligero,primera_persona,83.0,3,25
11,humor,papel,eng,largo,adulto,no,no,pesado,tercera_persona,262.0,4,25
11,misterio,papel,spa,normal,adulto,si,no,ligero,primera_persona,312.0,3,25
11,romance,papel,spa,corto,adulto,si,no,intermedio,tercera_persona,70.0,3,27
11,humor,papel,spa,normal,juvenil,no,si,intermedio,tercera_persona,259.0,3,27
11,magia,papel,eng,largo,adulto,si,no,ligero,primera_persona,285.0,4,34
11,fantasia,papel,eng,largo,adulto,no,si,intermedio,tercera_persona,67.0,3,34
11,terror,papel,eng,corto,adulto,no,si,pesado,tercera_persona,200.0,4,37
11,magia,papel,eng,normal,adulto,no,si,pesado,primera_persona,278.0,4,39
11,humor,papel,eng,largo,adulto,no,si,ligero,primera_persona,233.0,4,39
11,ciencia_ficcion,ebook,spa,corto,adulto,no,no,intermedio,primera_persona,393.0,4,46
11,ciencia_ficcion,papel,spa,normal,juvenil,si,no,ligero,tercera_persona,398.0,4,46
11,fantasia,ebook,eng,normal,infantil,no,si,ligero,primera_persona,44.0,3,49
11,humor,papel,cat,normal,adulto,no,si,intermedio,tercera_persona,224.0,4,55
11,terror,papel,spa,largo,adulto,no,no,ligero,tercera_persona,215.0,3,56
11,ciencia_ficcion,papel,eng,corto,adulto,si,no,ligero,tercera_persona,390.0,3,56
11,ciencia_ficcion,papel,spa,corto,adulto,si,no,pesado,tercera_persona,391.0,3,58
11,romance,ebook,spa,normal,juvenil,si,si,ligero,primera_persona,357.0,4,58
11,misterio,ebook,eng,largo,juvenil,si,si,ligero,primera_persona,310.0,2,60
11,romance,papel,spa,normal,juvenil,no,si,intermedio,primera_persona,344.0,3,60
11,misterio,papel,spa,corto,adulto,si,no,ligero,primera_persona,315.0,3,60
12,humor,papel,cat,corto,juvenil,no,si,pesado,tercera_persona,271.0,4,2
12,suspense,papel,eng,corto,adulto,si,si,intermedio,tercera_persona,408.0,3,2
12,suspense,papel,spa,corto,adulto,si,no,intermedio,primera_persona,400.0,3,8
12,ciencia_ficcion,papel,eng,corto,juvenil,no,si,ligero,tercera_persona,394.0,4,11
12,humor,ebook,spa,largo,juvenil,no,si,pesado,primera_persona,251.0,3,20
12,humor,papel,spa,normal,adulto,si,no,ligero,tercera_persona,246.0,5,21
12,fantasia,papel,eng,normal,juvenil,si,no,pesado,primera_persona,27.0,3,21
12,humor,papel,eng,corto,juvenil,si,si,intermedio,tercera_persona,228.0,4,21
12,fantasia,papel,eng,corto,juvenil,no,si,intermedio,primera_persona,24.0,3,23
12,terror,papel,eng,corto,infantil,si,si,ligero,primera_persona,206.0,3,24
12,fantasia,papel,spa,largo,adulto,si,si,ligero,primera_persona,69.0,4,24
12,fantasia,papel,eng,normal,adulto,si,no,pesado,tercera_persona,71.0,3,24
12,magia,papel,spa,corto,juvenil,no,si,intermedio,tercera_persona,295.0,3,24
12,ficcion_historica,papel,cat,largo,adulto,si,si,intermedio,primera_persona,83.0,4,29
13,romance,audiolibro,spa,corto,juvenil,no,si,intermedio,tercera_persona,363.0,4,0
13,magia,papel,eng,corto,juvenil,si,si,ligero,tercera_persona,287.0,3,0
